编号,章节,严重度,坏样本,好样本,子维度,修复方向,源RCA
AV-013,5,medium,我妈妈做多了一份,保留陆老师和您吃吗，把中间那一句改成更有停顿的：我妈妈今天做多了一份。——加个今天让句子有日常感；或让她先低头看一眼饭盒再说。原因：真人送饭时很少三句一气说完，会有一个小小的迟疑。,syntax,保留陆老师和您吃吗，把中间那一句改成更有停顿的：我妈妈今天做多了一份。——加个今天让句子有日常感；或让她先低头看一眼饭盒再说。原因：真人送饭时很少三句一气说完，会有一个小小的迟疑。,
AV-014,5,medium,灵泉的水像一块透明的布,第二次不要重复那块透明的布，改成然后那层水/那块布料/它。另推荐把托起了半分改成更贴喻体的动作：把整个白瓷盘兜住，抬起半分。原因：比喻第一次立住之后不需要再命名，重复反而会让陌生化的新鲜感褪色。,vocab,第二次不要重复那块透明的布，改成然后那层水/那块布料/它。另推荐把托起了半分改成更贴喻体的动作：把整个白瓷盘兜住，抬起半分。原因：比喻第一次立住之后不需要再命名，重复反而会让陌生化的新鲜感褪色。,
AV-015,5,low,他在心里对自己说：D-25。,单看不必改。若与其他 checker 一起看觉得系统化太多，可改成：他在心里又数了一遍。还有二十五天。原因：用数词+自然语言比直接抛出 D-25 更小说化。,vocab,单看不必改。若与其他 checker 一起看觉得系统化太多，可改成：他在心里又数了一遍。还有二十五天。原因：用数词+自然语言比直接抛出 D-25 更小说化。,
AV-016,5,low,生机值从他胸口往下收了五个刻度。八十五变成八十。,可保留生机值设定，但表达更贴身：胸口那团暖被抽走了一小块。他估摸着不到一成，不至于触发绿斑。原因：用体感代替数字，让系统元素隐身到主角的肉身感觉里，整体文风更一致。,vocab,可保留生机值设定，但表达更贴身：胸口那团暖被抽走了一小块。他估摸着不到一成，不至于触发绿斑。原因：用体感代替数字，让系统元素隐身到主角的肉身感觉里，整体文风更一致。,
AV-017,5,low,深了半分,把其中两处半分换成一层/一指/一道/一丁点。原因：量词多样性是读起来像人写的的底层证据。,vocab,把其中两处半分换成一层/一指/一道/一丁点。原因：量词多样性是读起来像人写的的底层证据。,
AV-018,5,low,她也是这样站在门口，也是这样把饭盒递过来，也是这样轻轻说了一句,砍一个也是这样：她也是这样站在门口，把饭盒递过来，轻轻说了一句——三连变一连，让那句回忆的也是落在动作开头即可。,narrative,砍一个也是这样：她也是这样站在门口，把饭盒递过来，轻轻说了一句——三连变一连，让那句回忆的也是落在动作开头即可。,
AV-019,5,low,他甩了甩右手袖口的水珠,删掉后半句解释，改成：他甩了甩右手袖口的水珠——甩完那一下他自己也愣了半秒。让读者自己推断动机，更有力量。,vocab,删掉后半句解释，改成：他甩了甩右手袖口的水珠——甩完那一下他自己也愣了半秒。让读者自己推断动机，更有力量。,
AV-020,6,medium,像有人在他掌心的暗金底下压了半秒，又松开,"把第二次（163行）改掉。改为""掌心印记忽然热起来一块，不烫，像烙铁已经从皮肤上移开，但痕迹还热着""或类似不重复""半秒+松""结构的表达。换质感（温度/麻木/刺/胀）而不是换时长。",vocab,"把第二次（163行）改掉。改为""掌心印记忽然热起来一块，不烫，像烙铁已经从皮肤上移开，但痕迹还热着""或类似不重复""半秒+松""结构的表达。换质感（温度/麻木/刺/胀）而不是换时长。",
AV-021,6,medium,他在心里给这一眼做了个灰度标——候选，观察中。,"两者保留一个。推荐保留第95行""灰度标""（这是人物视角的隐喻，有性格），把第139行系统提示改成""候选库 +1""或""备用节点：1""这种系统语而非人物语，让两层声音分开。",vocab,"两者保留一个。推荐保留第95行""灰度标""（这是人物视角的隐喻，有性格），把第139行系统提示改成""候选库 +1""或""备用节点：1""这种系统语而非人物语，让两层声音分开。",
AV-022,6,medium,基地 0% 到 8%，从这里开始。,"改成人物的具体念想，如""第一车到位。往下还要十车，或者十五车。够不够他心里有个数。""百分比留给系统提示层独占。或者干脆删掉这一行，让第121行直接接上来——读者自己能感觉到""开始了""。",vocab,"改成人物的具体念想，如""第一车到位。往下还要十车，或者十五车。够不够他心里有个数。""百分比留给系统提示层独占。或者干脆删掉这一行，让第121行直接接上来——读者自己能感觉到""开始了""。",
AV-023,6,medium,普通狗叫是起伏的，这声是直的，像一条线被拎住了两头。,"删掉""普通狗叫是起伏的，这声是直的""这半句，直接留""像一条线被拎住了两头""就够了。或者让邻居老太那句台词去承担这个对比——她说""叫得怪""已经暗示了反常，不需要叙述者再说一遍。",narrative,"删掉""普通狗叫是起伏的，这声是直的""这半句，直接留""像一条线被拎住了两头""就够了。或者让邻居老太那句台词去承担这个对比——她说""叫得怪""已经暗示了反常，不需要叙述者再说一遍。",
AV-024,6,low,两句之间没什么寒暄，像谁在调一个稳定的节拍。,"直接删掉""像谁在调一个稳定的节拍""这半句。前面的描述已经够了。",vocab,"直接删掉""像谁在调一个稳定的节拍""这半句。前面的描述已经够了。",
AV-025,6,low,一瞬 / 一下 / 一阵 / 一眼 / 一层 / 半秒 / 两秒,"削掉30%即可。优先删重复度高的：""一眼""出现多次，可改成""瞥一下""""看了看""等；""半秒""和""两秒""同时出现时保留一个。",vocab,"削掉30%即可。优先删重复度高的：""一眼""出现多次，可改成""瞥一下""""看了看""等；""半秒""和""两秒""同时出现时保留一个。",
AV-026,6,low,他没笑，也没不笑 / 他没辩 / 他没低头 / 他没点开 / 他没多看,"""他没笑，也没不笑""这种双重否定改成""他嘴角动了半下""或直接砍掉；把一两处""他没X""改成有方向的动作，比如狗叫响起时""他指尖在窗玻璃上慢慢收拢""——让主角有一个微小的肢体外露代替第N个""没""。",vocab,"""他没笑，也没不笑""这种双重否定改成""他嘴角动了半下""或直接砍掉；把一两处""他没X""改成有方向的动作，比如狗叫响起时""他指尖在窗玻璃上慢慢收拢""——让主角有一个微小的肢体外露代替第N个""没""。",
AV-027,6,low,水泥标号高一等，按三十二点五R,"加一句""就是耐磨那个型号""或让老板回话""R的？""来暗示读者这是型号标准，不必直接解释但要让读者不困惑。",vocab,"加一句""就是耐磨那个型号""或让老板回话""R的？""来暗示读者这是型号标准，不必直接解释但要让读者不困惑。",
AV-028,6,low,这一眼没停，只是记住了——人没起，今天不撞。,"可改为""——人没起，今天错开""或保留""不撞""但前置""不打照面""这种更口语的选择。影响不大，属于优化项。",vocab,"可改为""——人没起，今天错开""或保留""不撞""但前置""不打照面""这种更口语的选择。影响不大，属于优化项。",
AV-029,8,medium,他上楼洗了把脸，衬衫未换。,把正文叙述中 60% 的“未”改回“没”：本句改“衬衫没换”；339 行“陈默未跟着起身”改“陈默没跟着起身”；279 行“语调未升”改“语调没抬”或“声音没抬”。“未”只保留在真正书面/仪式化的场合（比如账册注释、系统提示），对话、动作叙述一律用“没”。这一改会直接消除最突兀的 AI 腔。,vocab,把正文叙述中 60% 的“未”改回“没”：本句改“衬衫没换”；339 行“陈默未跟着起身”改“陈默没跟着起身”；279 行“语调未升”改“语调没抬”或“声音没抬”。“未”只保留在真正书面/仪式化的场合（比如账册注释、系统提示），对话、动作叙,
AV-030,8,medium,饭局上喜欢让对方先等半首曲子,改成“饭局上喜欢让对方先坐着等两三分钟”或“习惯让对方先落座”，直接、具体、口语化。如果作者舍不得“曲子”这个意象，可以转移到环境里——比如进门那刻包厢隐约飘着半首三味线——由环境承担诗性，而不是用比喻去解释一个社交习惯。,narrative,改成“饭局上喜欢让对方先坐着等两三分钟”或“习惯让对方先落座”，直接、具体、口语化。如果作者舍不得“曲子”这个意象，可以转移到环境里——比如进门那刻包厢隐约飘着半首三味线——由环境承担诗性，而不是用比喻去解释一个社交习惯。,
AV-031,8,medium,“混得挺精致。”,换成合肥/国企中年男人真实会说的嘲讽——“混得挺滋润”“混得挺像样”“混出花来了”“混日子混得比干活还累吧”都比“精致”自然。如果一定要讽刺陈默的“表面光鲜”，可以改成“混得挺体面”，“体面”才是和陈默袖扣、薄衬衫扣到第二个扣位这种形象直接对冲的词。,vocab,换成合肥/国企中年男人真实会说的嘲讽——“混得挺滋润”“混得挺像样”“混出花来了”“混日子混得比干活还累吧”都比“精致”自然。如果一定要讽刺陈默的“表面光鲜”，可以改成“混得挺体面”，“体面”才是和陈默袖扣、薄衬衫扣到第二个扣位这种形象直接,
AV-032,8,medium,“一亩三分。”,两条路：(a) 保留，但让陈默下一句有微反应——“陈默笑了一下”——承认这是个梗，把暗笑外化；(b) 改成“一亩出头”或“一亩多点”，更像合肥老宅实际丈量报数，把梗感压下去。当前版本两头不靠。,vocab,两条路：(a) 保留，但让陈默下一句有微反应——“陈默笑了一下”——承认这是个梗，把暗笑外化；(b) 改成“一亩出头”或“一亩多点”，更像合肥老宅实际丈量报数，把梗感压下去。当前版本两头不靠。,
AV-033,8,medium,“前次也是这一对。”,改为“上次也是这一对。”或“上回也是这一对。”陆沉全章都在用“陈总”“那天”“前次”“从前”这类偏文的词，可以保留他整体略端着的口吻，但“前次”是最明显的一处机翻感，单改这一句，风险最低收益最大。同时全文搜一下“前次”是否重复出现（125 行“以前，也是这个配法”已经铺过“以前”，这里用“上次”更有层次）。,vocab,改为“上次也是这一对。”或“上回也是这一对。”陆沉全章都在用“陈总”“那天”“前次”“从前”这类偏文的词，可以保留他整体略端着的口吻，但“前次”是最明显的一处机翻感，单改这一句，风险最低收益最大。同时全文搜一下“前次”是否重复出现（125 ,
AV-034,8,medium,稳态的跳还在——那是对议会那种东西的反应；另一层薄薄的颤加在下面——比心跳慢半拍，血色轻扩，像水底下另一块东西在应。,削到两行以内、且必须是身体感受而非术语。建议版本：“掌心那一跳比先前慢半拍，底下还压着一层薄薄的颤。他第一次知道，印记不光对‘议会’那种东西跳，也对眼前坐着的这个人跳。”——去掉“稳态”“血色轻扩”“某种体系”三个术语词，只留“慢半拍”“薄薄的颤”两个身体感。其余后移到下一章再补，不急这一页。,narrative,削到两行以内、且必须是身体感受而非术语。建议版本：“掌心那一跳比先前慢半拍，底下还压着一层薄薄的颤。他第一次知道，印记不光对‘议会’那种东西跳，也对眼前坐着的这个人跳。”——去掉“稳态”“血色轻扩”“某种体系”三个术语词，只留“慢半拍”“薄,
AV-035,8,low,蓝金色偏深了半度,343 行“夜风比他进包厢时凉半度”改成“夜风比他进包厢时凉了些”或“夜风比进包厢那会儿凉下来了”。“半度”留给印记的颜色描写一处即可，作为陆沉对金手指变化的精确感知，不外溢到常规环境描写，签名式词汇就不会显得刻意。,vocab,343 行“夜风比他进包厢时凉半度”改成“夜风比他进包厢时凉了些”或“夜风比进包厢那会儿凉下来了”。“半度”留给印记的颜色描写一处即可，作为陆沉对金手指变化的精确感知，不外溢到常规环境描写，签名式词汇就不会显得刻意。,
AV-036,8,low,路过高架的时候他想起很多年前他们第一次一起吃饭——也是一家日料店，也是清酒,改成“他想起从前他们第一次一起吃饭”或“他想起当年他们第一次一起吃饭”。去掉精确的“很多年前”，用“从前 / 当年”模糊处理，既承担重生者的时间感，又不跟客观时间线打架。或者干脆改成“他想起他们上一次这样坐下来喝清酒”——把“第一次”改成“上一次”，回避重生时间悖论。,vocab,改成“他想起从前他们第一次一起吃饭”或“他想起当年他们第一次一起吃饭”。去掉精确的“很多年前”，用“从前 / 当年”模糊处理，既承担重生者的时间感，又不跟客观时间线打架。或者干脆改成“他想起他们上一次这样坐下来喝清酒”——把“第一次”改成“,
AV-037,8,low,他把“随口”和“当然”两个词原样还给了对方，又把“别多想”和“别多问”照样还了一次。每一次中间都停了一拍。,整段删掉，或压成一句“他每句都停了一拍才回。”读者能看见陆沉把词原样还回来——不必解释。信任读者。如果作者担心不够强调归还的意味，可以把这层意味放到 301 行桌下印记的反应里（由身体感受承担），而不是由叙述者替人物发言。,vocab,整段删掉，或压成一句“他每句都停了一拍才回。”读者能看见陆沉把词原样还回来——不必解释。信任读者。如果作者担心不够强调归还的意味，可以把这层意味放到 301 行桌下印记的反应里（由身体感受承担），而不是由叙述者替人物发言。,
AV-038,8,low,陈默再次扶眼镜。,保留最关键的 3 次（首次登场 65、呷酒后 133、结尾 309），中间 3 次替换为其他微动作：比如“用拇指擦了一下酒盏边缘”“袖扣在灯下反了一下光”“指节在桌沿敲了一下”。让“扶眼镜”回归稀缺性，下次出现才有重量。,vocab,保留最关键的 3 次（首次登场 65、呷酒后 133、结尾 309），中间 3 次替换为其他微动作：比如“用拇指擦了一下酒盏边缘”“袖扣在灯下反了一下光”“指节在桌沿敲了一下”。让“扶眼镜”回归稀缺性，下次出现才有重量。,
AV-039,8,low,前台一笔带过。,改成“他在前台结了账。”或“前台刷卡签字，几十秒的事。”把抽象的“一笔带过”还原成具体动作。或者干脆整句删掉，直接“他出门的时候门口石灯笼还亮着两盏”——读者自己会脑补中间的结账流程。,narrative,改成“他在前台结了账。”或“前台刷卡签字，几十秒的事。”把抽象的“一笔带过”还原成具体动作。或者干脆整句删掉，直接“他出门的时候门口石灯笼还亮着两盏”——读者自己会脑补中间的结账流程。,
AV-040,8,low,他伸手想说点什么，还没开口。,把“他”改回“陈默”或“陆沉”明示一次——“陈默伸手想说点什么”，下面陆沉抢在前头的动作才有力。或者删掉“他伸手想说点什么，还没开口”这一句，直接接“‘就这一瓶吧，陈总。’他抢在陈默前头半秒”——读者从“抢在前头”就能反推出陈默本来要开口。,vocab,把“他”改回“陈默”或“陆沉”明示一次——“陈默伸手想说点什么”，下面陆沉抢在前头的动作才有力。或者删掉“他伸手想说点什么，还没开口”这一句，直接接“‘就这一瓶吧，陈总。’他抢在陈默前头半秒”——读者从“抢在前头”就能反推出陈默本来要开口。,
AV-041,8,low,“前”字他在舌尖上压了一下，咽回去半个。,改成“‘前’字他在舌尖上压了一下，没说全。”或“‘前’字他在舌尖上咬住了半个音。”让“半”落在音节上而不是字上，更符合汉语的感觉。或者直接“‘前’字他差点说全，咬住了。”,vocab,改成“‘前’字他在舌尖上压了一下，没说全。”或“‘前’字他在舌尖上咬住了半个音。”让“半”落在音节上而不是字上，更符合汉语的感觉。或者直接“‘前’字他差点说全，咬住了。”,
AV-042,8,low,陆哥这边的消息，陈总是从哪一处听来的。,可维持不动；若再 polish 可改为「陆哥这边的事，陈总从哪儿听来的。」更口语。不属于阻塞级问题。,syntax,可维持不动；若再 polish 可改为「陆哥这边的事，陈总从哪儿听来的。」更口语。不属于阻塞级问题。,
AV-043,8,low,陈默指节那一线白没褪。,维持；若做第二轮 polish 可在本章挑 3-4 处「半X」换成普通量词（比如 line 273 的「一层光抖了一下，极小的一下」合并成「极小地抖了一下」），避免连串「半X」堆叠形成 AI 腔标签。当前 88 分不需要动。,vocab,维持；若做第二轮 polish 可在本章挑 3-4 处「半X」换成普通量词（比如 line 273 的「一层光抖了一下，极小的一下」合并成「极小地抖了一下」），避免连串「半X」堆叠形成 AI 腔标签。当前 88 分不需要动。,
AV-044,8,low,胸口还留着昨夜那半句「#47」带来的钝感，像压在心上的一只薄铁片。,建议改「像压在心上的一片薄铁」或「像心口压着一块薄铁片」。但不属于机翻级硬伤，低优先级。,vocab,建议改「像压在心上的一片薄铁」或「像心口压着一块薄铁片」。但不属于机翻级硬伤，低优先级。,
AV-045,8,low,那一次他没看出来。这一次他不能再看不出来。,可保留（重生题材里这种对称本就是主角内心 motif 的合理表现）；若嫌显手，改成「那一次他漏看了。这一次不能再漏。」,narrative,可保留（重生题材里这种对称本就是主角内心 motif 的合理表现）；若嫌显手，改成「那一次他漏看了。这一次不能再漏。」,
AV-046,9,high,甩钥匙挂钥匙挂钩，一声。,改成『他随手把钥匙甩上墙边的挂钩，叮的一声。车钥匙也挂上去，两把撞在一起，又叮了一声，才安静下来。』原因：拆开动作主干+补全介词，让『挂钩』有明确归属；把下一句的『叮一声』做成节奏回响，而不是两个独立拟声。,vocab,改成『他随手把钥匙甩上墙边的挂钩，叮的一声。车钥匙也挂上去，两把撞在一起，又叮了一声，才安静下来。』原因：拆开动作主干+补全介词，让『挂钩』有明确归属；把下一句的『叮一声』做成节奏回响，而不是两个独立拟声。,
AV-047,9,high,堂屋黄灯他不拉大,改成『堂屋的黄灯他没全开，只拉亮八仙桌头上那一盏。』原因：『全开/只拉亮』是老宅拉绳灯泡的母语表达；『拉大』留着反而制造阅读摩擦。,vocab,改成『堂屋的黄灯他没全开，只拉亮八仙桌头上那一盏。』原因：『全开/只拉亮』是老宅拉绳灯泡的母语表达；『拉大』留着反而制造阅读摩擦。,
AV-048,9,high,——精确到分的那个数。那种数字，不是中介报价那个框里能查到的。,改成『精确到分的数字——中介的公开报价里看不到，市场上的口头交易也报不到这一层。这种数只可能从监视网内部流出来。』原因：把连续『那』字收成一次指代；把『不是……不会是』两句否定叠加改成一句正面推断，内心逻辑更干净。,vocab,改成『精确到分的数字——中介的公开报价里看不到，市场上的口头交易也报不到这一层。这种数只可能从监视网内部流出来。』原因：把连续『那』字收成一次指代；把『不是……不会是』两句否定叠加改成一句正面推断，内心逻辑更干净。,
AV-049,9,medium,蓝金色那一圈比平时深了半度。,同一章内把『深了半度』『深了一分』『沉了一分』三种刻度说法收敛成 1-2 种，另外几处换成更感官的表达，比如『蓝金色的光比昨天沉一点』『那圈色像被按进皮肤下面一层』。原因：计量叠多了就变签名，像模型在填刻度槽。,vocab,同一章内把『深了半度』『深了一分』『沉了一分』三种刻度说法收敛成 1-2 种，另外几处换成更感官的表达，比如『蓝金色的光比昨天沉一点』『那圈色像被按进皮肤下面一层』。原因：计量叠多了就变签名，像模型在填刻度槽。,
AV-050,9,medium,他在门槛那儿站住了三秒。,保留这一处『三秒』，但把前文『他看了很久，按下不催』/『那一秒钟』/『有一瞬的空』等同类停顿至少替换 1-2 处为别的感官手段（呼吸、手上动作、光线变化）。原因：节奏多样化才像人写，而不是模型在踩点。,narrative,保留这一处『三秒』，但把前文『他看了很久，按下不催』/『那一秒钟』/『有一瞬的空』等同类停顿至少替换 1-2 处为别的感官手段（呼吸、手上动作、光线变化）。原因：节奏多样化才像人写，而不是模型在踩点。,
AV-051,9,medium,薄哑嗓，比平时再哑了半度,第一次出现保留『薄哑嗓』；第二次改为具体描写，比如『她说到朵朵的时候，嗓子像被泡软了一点』。原因：标签只能用一次，第二次应换成在场场景里的感受，否则角色变成贴标卡片。,vocab,第一次出现保留『薄哑嗓』；第二次改为具体描写，比如『她说到朵朵的时候，嗓子像被泡软了一点』。原因：标签只能用一次，第二次应换成在场场景里的感受，否则角色变成贴标卡片。,
AV-052,9,medium,就在她站着的那一秒钟，掌心里那一圈蓝金色忽然又深了半度。不是跳，是更沉下去了一点。,改为『就在她站着这一刻，掌心里那圈蓝金沉下去一分——不是烫，也不跳，只是更稳。』原因：保留『稳/沉』核心感觉，把『不是 A 是 B』的刻度对比收成单向下沉+一次性排除，更像人的第一反应。,vocab,改为『就在她站着这一刻，掌心里那圈蓝金沉下去一分——不是烫，也不跳，只是更稳。』原因：保留『稳/沉』核心感觉，把『不是 A 是 B』的刻度对比收成单向下沉+一次性排除，更像人的第一反应。,
AV-053,9,medium,这半寸就是她自己跟自己的那条线。,直接删掉这一句，让读者自己在前一句『一步也不越过』里感受分寸感。原因：显手的文学句本章已经不少，这一句最可删。,vocab,直接删掉这一句，让读者自己在前一句『一步也不越过』里感受分寸感。原因：显手的文学句本章已经不少，这一句最可删。,
AV-054,9,medium,他在心里只点了一下。,把其中至少 3-4 处换成别的表达：用眼前动作代替内心动作（盯着账册上那串数字 / 手指在桌面轻敲一下 / 喉咙里咕哝一声没出声）。原因：内心戏要错落，不能全从『他在心里 X 了一下』同一模子出。,vocab,把其中至少 3-4 处换成别的表达：用眼前动作代替内心动作（盯着账册上那串数字 / 手指在桌面轻敲一下 / 喉咙里咕哝一声没出声）。原因：内心戏要错落，不能全从『他在心里 X 了一下』同一模子出。,
AV-055,9,low,老宅木门轴先吱呀一声。,改为『老宅木门先吱呀一声。』或『门吱呀一声打开。』原因：同一轴心两次感官描写让画面略显拥挤。,vocab,改为『老宅木门先吱呀一声。』或『门吱呀一声打开。』原因：同一轴心两次感官描写让画面略显拥挤。,
AV-056,9,low,他能听见自己的嗓子里有一点干。,改为『他听出自己的嗓音干了一下。』或『嗓子发干。』原因：口语化收短，去掉不必要的介词叠加。,vocab,改为『他听出自己的嗓音干了一下。』或『嗓子发干。』原因：口语化收短，去掉不必要的介词叠加。,
AV-057,9,low,他不立刻答，也答不出来。,改为『他没立刻答上来，也答不出。』原因：把否定从『不』换成『没』，更像日常口吻；章内否定签名从『不』字独大转向自然分布。,vocab,改为『他没立刻答上来，也答不出。』原因：把否定从『不』换成『没』，更像日常口吻；章内否定签名从『不』字独大转向自然分布。,
AV-058,9,low,凉茶先搁一边，他靠着椅背闭了一会儿眼。,要么把凉茶和闭眼顺序调一下（『他闭眼靠了一会儿，才想起凉茶还搁在桌边，没喝』），要么在闭眼前让他先抿一口（『他抿了一口，苦味压一下太阳穴』）。原因：具体动作要服务当下情绪，而不是摆设。,vocab,要么把凉茶和闭眼顺序调一下（『他闭眼靠了一会儿，才想起凉茶还搁在桌边，没喝』），要么在闭眼前让他先抿一口（『他抿了一口，苦味压一下太阳穴』）。原因：具体动作要服务当下情绪，而不是摆设。,
AV-059,9,medium,薄哑嗓柔下来半度。,改为『她说到「朵朵」的时候，嗓子像被泡软了一点』或『说到「朵朵」时，尾音不自觉地收软了一点』。原因：第一次保留『薄哑嗓』的标签效用，第二次必须换成场景里实时感受，否则角色变成贴卡片。,vocab,改为『她说到「朵朵」的时候，嗓子像被泡软了一点』或『说到「朵朵」时，尾音不自觉地收软了一点』。原因：第一次保留『薄哑嗓』的标签效用，第二次必须换成场景里实时感受，否则角色变成贴卡片。,
AV-060,9,low,三秒钟里，他心里的那块「账本」忽然翻了一下，一页纸被风掀开半面又合上。,改为『三秒钟里，他胸口先紧了一下，又松开。然后他才伸出右手去接那只碗。』原因：把抽象账本翻页换成胸腔具身反应，更贴林晚秋送汤这一刻的情绪而非冷计算。,narrative,改为『三秒钟里，他胸口先紧了一下，又松开。然后他才伸出右手去接那只碗。』原因：把抽象账本翻页换成胸腔具身反应，更贴林晚秋送汤这一刻的情绪而非冷计算。,
AV-061,9,low,他缩回去了半指。,改为『他缩了一下手指』或『指尖往回缩了缩』。原因：日常动作不必非用刻度量词，刻度量词留给印记/嗓音那两处主线就够了。,vocab,改为『他缩了一下手指』或『指尖往回缩了缩』。原因：日常动作不必非用刻度量词，刻度量词留给印记/嗓音那两处主线就够了。,
