编号,章节,严重度,坏样本,好样本,禁区类型,修复方向,源RCA
CV-012,4,medium,Part 1 CLI 报告 review_metrics 表无 chapter 4 行 · 三源数值（state.overall_score=88 / 审查报告 88 / checker_scores 均分已回算）实际一致,,战力越权,audit B 层 B4 warn · 参 audit_reports/ch0004.json,
CV-013,5,medium,CLI regex did not extract overall_score; three sources = 89 consistent,,战力越权,audit B 层 B4 warn · 参 audit_reports/ch0005.json,
CV-014,6,low,CLI key_beats match 47% with narrative_style=True; manual review: narrative-style summary (not bullet list); 16 claimed entities (瑞兴建材/墙砖/铁丝网/水泥/钢筋/防水布/老周/老板娘/挑砖/林晚秋/大狗/合肥/包河区/老宅/后院/期货) 100% hit in te,,设定矛盾,audit B 层 B1 warn · 参 audit_reports/ch0006.json,
CV-015,6,low,CLI cannot extract overall_score from narrative-table review report (known v2 regex miss). Three-source actually consistent: review=85 state.overall_score=85 state.review_score=85. HOWEVER v3 post_pol,,战力越权,audit B 层 B4 warn · 参 audit_reports/ch0006.json,
CV-016,7,medium,CLI 33 pct narrative-style false positive; manual review v3 summary covers 3 beats + v3 changes,,设定矛盾,audit B 层 B1 warn · 参 audit_reports/ch0007.json,
CV-017,7,medium,no standalone overall_score line meta equals state 85,,战力越权,audit B 层 B4 warn · 参 audit_reports/ch0007.json,
CV-018,8,high,CLI POV 陆沉 false positive,,关系漂移,audit B 层 B2 warn · 参 audit_reports/ch0008.json,
CV-019,9,low,stored as str(len=7) not list,,设定矛盾,audit B 层 B-POL warn · 参 audit_reports/ch0009.json,
CV-020,10,high,野草的根须在土里他看不见，但他知道，那一丛三天前他来踩点的时候，已经从灵泉里沾过一点雾气。……但生机值——他知道——又下去几点。,ch0010_context.json forbidden_items L737-738 明确禁用「他知道/他明白/一股暖流」等 AI 套话。L227 删「他看不见，但他知道」改用破折号过渡；L237 删「他知道」三字直接给结果。,设定矛盾,ch0010_context.json forbidden_items L737-738 明确禁用「他知道/他明白/一股暖流」等 AI 套话。L227 删「他看不见，但他知道」改用破折号过渡；L237 删「他知道」三字直接给结果。,
CV-021,10,medium,一秒空白。……两秒。他推空购物车回到入口……三秒。他坐进车里，把车门关上。,ch0010_context.json forbidden L43 明确禁用「单章半秒+一秒+三秒同时出现」，本章一秒/两秒/三秒三连读秒，把时间切片格式一次性用光。建议保留「一秒空白」作定格，删「两秒/三秒」两个显式读秒，替换为动作锚点。,设定矛盾,ch0010_context.json forbidden L43 明确禁用「单章半秒+一秒+三秒同时出现」，本章一秒/两秒/三秒三连读秒，把时间切片格式一次性用光。建议保留「一秒空白」作定格，删「两秒/三秒」两个显式读秒，替换为动作锚点。,
CV-022,10,medium,沙漏，他系统里那个三十格的查询计数器，今天那格沙稳稳压着，他不去翻它。,state.json L180 hourglass.remaining=28 vs ch0010_context.json L625 沙漏 27 存在数字漂移。Ch1=30→Ch1末29→Ch4消耗=28→Ch7 L309 沙漏顶头的沙落下一粒 再-1=27，但 state.last_consumption_chapter=4 表明 Ch7 消耗未登记。正文 Ch10 未给数值故不构成正文违规，但,时间线漂移,state.json L180 hourglass.remaining=28 vs ch0010_context.json L625 沙漏 27 存在数字漂移。Ch1=30→Ch1末29→Ch4消耗=28→Ch7 L309 沙漏顶头的沙落下,
CV-023,10,medium,桃源空间——那块他重生当天就激活的隐居地，一亩三分加一口灵泉，进出靠掌心印记，里头时间比外面慢五倍——他今天不进。,设定集/金手指设计.md §桃源空间 Lv1 时间流速 1:5（空间 1 天=外界 5 小时）=空间内时间跑得快（修炼者赚时间差），不是空间内时间慢五倍。L37「里头时间比外面慢五倍」语义反向，字面理解=空间内 5 小时外界才过 1 小时=修炼减速。建议改为「里头一天抵外头五个小时」或「里头跑得比外面快五倍」。,设定矛盾,设定集/金手指设计.md §桃源空间 Lv1 时间流速 1:5（空间 1 天=外界 5 小时）=空间内时间跑得快（修炼者赚时间差），不是空间内时间慢五倍。L37「里头时间比外面慢五倍」语义反向，字面理解=空间内 5 小时外界才过 1 小时=,
CV-024,10,low,外公坐在窗台边那一格小马扎上，手里捧着一只搪瓷缸。,ch0010_context.json L72-74 外公 voice_rules 要求『摩挲一只搪瓷缸/桌沿一格小马扎』标志动作。正文给了『捧着搪瓷缸/坐小马扎』但『摩挲』关键动词未出现。建议补一处外公摩挲缸口的微动作强化 signature。非硬违规。,时间线漂移,ch0010_context.json L72-74 外公 voice_rules 要求『摩挲一只搪瓷缸/桌沿一格小马扎』标志动作。正文给了『捧着搪瓷缸/坐小马扎』但『摩挲』关键动词未出现。建议补一处外公摩挲缸口的微动作强化 signatu,
CV-025,10,low,外公沉默了两秒 / 那两秒里 / 老张抬头盯着陆沉看了两秒,单章『两秒』出现 3 次 + 一秒×1 + 三秒×1 = 5 处秒数计数，属 voice signature 滥用边缘。建议 L177 老张盯看「两秒」改为「看了一会」，保留 L87/L89 外公那段作情绪定格。,时间线漂移,单章『两秒』出现 3 次 + 一秒×1 + 三秒×1 = 5 处秒数计数，属 voice signature 滥用边缘。建议 L177 老张盯看「两秒」改为「看了一会」，保留 L87/L89 外公那段作情绪定格。,
CV-026,10,low,手里那只毛巾换了一只手抹脸 / 从胸口的工服兜里摸出一把折叠匕首样的小刀,Ch4 L105 老张原标志动作为『毛巾从左手换到右手，又换回左手』三度轮换，Ch10 L149 简化为二度，方言节拍略失。L191 『折叠匕首样的小刀』为 Ch10 新增动作（Ch4/Ch6 未预设），后续章节需稳定保留。非硬违规。,设定矛盾,Ch4 L105 老张原标志动作为『毛巾从左手换到右手，又换回左手』三度轮换，Ch10 L149 简化为二度，方言节拍略失。L191 『折叠匕首样的小刀』为 Ch10 新增动作（Ch4/Ch6 未预设），后续章节需稳定保留。非硬违规。,
CV-027,10,medium,审查报告首次综合 86（内部 85.5×0.6 + 外部 86.4×0.4）；state.review_metrics.overall_score=86 vs chapter_meta.overall_score=88 差 2 来自 polish 后 reader-critic 78→88 与 naturalness 70→89 重写；首次审查 86 未回填 polish 后 88,,战力越权,audit B 层 B4 warn · 参 audit_reports/ch0010.json,
CV-028,11,medium,3x 2800-3100 pseudo-narrow violates Round 17.2 self-check; post_draft_check 7 EDITOR_NOTES_WORD_DRIFT,,设定矛盾,audit B 层 BWC warn · 参 audit_reports/ch0011.json,
